,name,type,boxoffice,url,picture
0,前任3：再见前任,喜剧,162801,http://www.cbooo.cn/m/663359,http://www.cbooo.cn/moviepic/230788.jpg
1,无问西东,爱情,66045,http://www.cbooo.cn/m/589946,http://www.cbooo.cn/moviepic/154373.jpg
2,神秘巨星,剧情,50894,http://www.cbooo.cn/m/670328,http://www.cbooo.cn/moviepic/249736.jpg
3,勇敢者游戏：决战丛林,动作,47841,http://www.cbooo.cn/m/671456,http://www.cbooo.cn/moviepic/227232.jpg
4,星球大战：最后的绝地武士,科幻,26751,http://www.cbooo.cn/m/659753,http://www.cbooo.cn/moviepic/211981.jpg
5,芳华,战争,23200,http://www.cbooo.cn/m/659453,http://www.cbooo.cn/moviepic/236404.jpg
6,移动迷宫3：死亡解药,动作,21510,http://www.cbooo.cn/m/657846,http://www.cbooo.cn/moviepic/223926.jpg
7,奇迹男孩,剧情,14292,http://www.cbooo.cn/m/671223,http://www.cbooo.cn/moviepic/235349.jpg
8,公牛历险记,动画,14065,http://www.cbooo.cn/m/671441,http://www.cbooo.cn/moviepic/235816.jpg
9,二代妖精之今生有幸,奇幻,12249,http://www.cbooo.cn/m/653548,http://www.cbooo.cn/moviepic/236250.jpg
10,妖铃铃,喜剧,11143,http://www.cbooo.cn/m/669715,http://www.cbooo.cn/moviepic/240424.jpg
11,解忧杂货店,奇幻,7461,http://www.cbooo.cn/m/641143,http://www.cbooo.cn/moviepic/229414.jpg
12,英雄本色2018,动作,6267,http://www.cbooo.cn/m/663226,http://www.cbooo.cn/moviepic/235348.jpg
13,妖猫传,奇幻,6116,http://www.cbooo.cn/m/643285,http://www.cbooo.cn/moviepic/145014.jpg
14,寻梦环游记,动画,5932,http://www.cbooo.cn/m/670102,http://www.cbooo.cn/moviepic/227434.jpg
15,谜巢,动作,4915,http://www.cbooo.cn/m/661934,http://www.cbooo.cn/moviepic/228391.jpg
16,卧底巨星,喜剧,3919,http://www.cbooo.cn/m/668959,http://www.cbooo.cn/moviepic/247386.jpg
17,南极之恋,爱情,2297,http://www.cbooo.cn/m/626831,http://www.cbooo.cn/moviepic/223804.jpg
18,马戏之王,剧情,2100,http://www.cbooo.cn/m/672203,http://www.cbooo.cn/moviepic/149326.jpg
19,太空救援,科幻,1676,http://www.cbooo.cn/m/670533,http://www.cbooo.cn/moviepic/251341.jpg
20,熊出没·变形记,动画,1462,http://www.cbooo.cn/m/670573,http://www.cbooo.cn/moviepic/670573.jpg
21,机器之血,科幻,1355,http://www.cbooo.cn/m/643308,http://www.cbooo.cn/moviepic/235012.jpg
22,老海的新生活,剧情,1146,http://www.cbooo.cn/m/616336,
23,心理罪之城市之光,剧情,1021,http://www.cbooo.cn/m/653101,http://www.cbooo.cn/moviepic/235736.jpg
24,24小时：末路重生,动作,954,http://www.cbooo.cn/m/671502,http://www.cbooo.cn/moviepic/234058.jpg
